startdate,enddate,ticker
31-03-2020,30-06-2020,BAJAJHIND.NS
31-03-2020,30-06-2020,BAJAJHLDNG.NS
31-03-2020,30-06-2020,BAJFINANCE.NS
31-03-2020,30-06-2020,BALAJITELE.NS
31-03-2020,30-06-2020,BALAMINES.NS
31-03-2020,30-06-2020,BALAXI.NS
31-03-2020,30-06-2020,BALKRISHNA.NS
31-03-2020,30-06-2020,BALKRISIND.NS
31-03-2020,30-06-2020,BALMLAWRIE.NS
31-03-2020,30-06-2020,BALPHARMA.NS
31-03-2020,30-06-2020,BALRAMCHIN.NS
31-03-2020,30-06-2020,BANARISUG.NS
31-03-2020,30-06-2020,BANCOINDIA.NS
31-03-2020,30-06-2020,BANG.NS
31-03-2020,30-06-2020,BANKBARODA.NS
31-03-2020,30-06-2020,BANKINDIA.NS
31-03-2020,30-06-2020,BANSWRAS.NS
31-03-2020,30-06-2020,BASF.NS
31-03-2020,30-06-2020,BASML.NS
31-03-2020,30-06-2020,BATAINDIA.NS
31-03-2020,30-06-2020,BAYERCROP.NS
31-03-2020,30-06-2020,BBL.NS
31-03-2020,30-06-2020,BBTC.NS
31-03-2020,30-06-2020,BEARDSELL.NS
31-03-2020,30-06-2020,BEDMUTHA.NS
31-03-2020,30-06-2020,BEL.NS
31-03-2020,30-06-2020,BEML.NS
31-03-2020,30-06-2020,BEPL.NS
31-03-2020,30-06-2020,BERGEPAINT.NS
31-03-2020,30-06-2020,BFINVEST.NS
31-03-2020,30-06-2020,BFUTILITIE.NS
31-03-2020,30-06-2020,BGLOBAL.NS
31-03-2020,30-06-2020,BGRENERGY.NS
31-03-2020,30-06-2020,BHAGERIA.NS
31-03-2020,30-06-2020,BHAGYANGR.NS
31-03-2020,30-06-2020,BHAGYAPROP.NS
31-03-2020,30-06-2020,BHANDARI.NS
31-03-2020,30-06-2020,BHARATFORG.NS
31-03-2020,30-06-2020,BHARATGEAR.NS
31-03-2020,30-06-2020,BHARATRAS.NS
31-03-2020,30-06-2020,BHARATWIRE.NS
31-03-2020,30-06-2020,BHARTIARTL.NS
31-03-2020,30-06-2020,BHEL.NS
31-03-2020,30-06-2020,BIGBLOC.NS
31-03-2020,30-06-2020,BIL.NS
