startdate,enddate,ticker,changelist
31-03-2020,30-06-2020,BAYERCROP.NS,1.1933527204003407
31-03-2020,30-06-2020,BBL.NS,-9.67307848808093
31-03-2020,30-06-2020,BBTC.NS,25.045581625049802
31-03-2020,30-06-2020,BEARDSELL.NS,-15.263155887001439
31-03-2020,30-06-2020,BEDMUTHA.NS,24.137931034482758
31-03-2020,30-06-2020,BEL.NS,4.67239371151038
31-03-2020,30-06-2020,BEML.NS,-2.9682559058779763
31-03-2020,30-06-2020,BEPL.NS,63.26987465751025
31-03-2020,30-06-2020,BERGEPAINT.NS,16.749502982107355
31-03-2020,30-06-2020,BFINVEST.NS,-6.530004695943226
31-03-2020,30-06-2020,BFUTILITIE.NS,21.923941059729948
31-03-2020,30-06-2020,BGLOBAL.NS,0.0
31-03-2020,30-06-2020,BGRENERGY.NS,-12.342572875850248
31-03-2020,30-06-2020,BHAGERIA.NS,17.02595531396888
31-03-2020,30-06-2020,BHAGYANGR.NS,1.6713048708050287
31-03-2020,30-06-2020,BHAGYAPROP.NS,-0.6849297769090099
31-03-2020,30-06-2020,BHANDARI.NS,-37.14285578046526
31-03-2020,30-06-2020,BHARATFORG.NS,44.174601236979164
31-03-2020,30-06-2020,BHARATGEAR.NS,-1.0416666666666665
31-03-2020,30-06-2020,BHARATRAS.NS,22.169942380249346
31-03-2020,30-06-2020,BHARATWIRE.NS,-3.90624994179234
31-03-2020,30-06-2020,BHARTIARTL.NS,-22.438812255859375
31-03-2020,30-06-2020,BHEL.NS,-13.11475256058959
31-03-2020,30-06-2020,BIGBLOC.NS,89.48276125151536
31-03-2020,30-06-2020,BIL.NS,1.6949193004988847
31-03-2020,30-06-2020,BINANIIND.NS,0.0
31-03-2020,30-06-2020,BINDALAGRO.NS,-17.24137931034483
31-03-2020,30-06-2020,BIOCON.NS,12.599998474121094
31-03-2020,30-06-2020,BIOFILCHEM.NS,294.79998779296875
31-03-2020,30-06-2020,BIRLACABLE.NS,2.788463005652795
31-03-2020,30-06-2020,BIRLACORPN.NS,13.545092322407193
31-03-2020,30-06-2020,BIRLAMONEY.NS,13.837382009669632
31-03-2020,30-06-2020,BLBLIMITED.NS,-1.6666650772094727
31-03-2020,30-06-2020,BLS.NS,33.61538226787861
31-03-2020,30-06-2020,BLUEDART.NS,46.023180357803255
